
11.63796,47.60606,Achenpass ele=941m SG_1-2,E_sattel
11.87674,47.38749,Kerschbaumer Sattel ele=1120m SG_2,E_sattel
11.88647,47.67232,Spitzingsattel-Spitzingsee ele=1127m SG_2,E_sattel
11.93050,47.62457,Elendsattel-Elendalm ele=1143m SG_2-3,E_sattel
11.95596,47.58799,Ackernalm Sattel ele=1383m SG_2,E_sattel
12.03651,47.68319,Sudelfeld-Niederaudorfer Waldalm ele=1123m SG_2,E_sattel
12.11230,47.45084,Grafenweg-Schermer Sattel ele=905m SG_2,E_sattel
12.14859,47.60015,Marblinger Höhe ele=683m SG_2,E_sattel
12.15809,47.23706,Filzsteinalpe-Gerlosplatte ele=1628m SG_1-2,E_sattel
12.17532,47.49756,Steinbacher Sattel ele=745m SG_1-2,E_sattel
12.28673,46.75117,Innicher Eck Sattel ele=1911m SG_3,E_sattel
12.30447,46.75356,Bodeneck Sattel ele=1795m SG_3,E_sattel
12.49731,47.69083,Maserer Pass ele=793m SG_1-2,E_sattel
12.64444,47.45556,Grießenpass B164 ele=976m SG_1-2 5_p,E_sattel
12.75854,47.67202,Steinpass ele=615m SG_2,E_sattel
12.85625,47.63632,Schwarzbachwachtsattel ele=868m SG_1-2,E_sattel
12.90438,47.62634,Hochschwarzeck Sattel ele=1043m SG_1-2,E_sattel
12.93340,47.70196,Pass Hallthurm ele=693m SG_1-2,E_sattel
12.94417,46.60139,Plöckenpass B110_SS52b ele=1362m SG_2 13_p,E_sattel
12.96667,46.71806,Gailbergsattel ele=982m SG_2-3 10_p,E_sattel
12.99333,47.40056,Filzensattel B164 ele=1291m 16_p,E_sattel
13.04361,47.39167,Dientersattel B164 ele=1357m SG_2,E_sattel
13.15706,47.77726,Pechauer Sattel-Hinterwinkl ele=714m SG_1-2,E_sattel
13.17941,47.71565,Krispl ele=922m SG_2,E_sattel
13.25121,47.61863,Schönleiten ele=884m SG_2-3,E_sattel
13.25417,46.70803,Kreuzbergsattel B87 ele=1077m SG_2 17_p,E_sattel
13.38886,46.57582,Schlosshüttensattel ele=1453m SG_3,E_sattel
13.41461,47.62661,Lienbachsattel ele=1304m SG_2-3,E_sattel
13.51500,47.58778,Pass Gschütt B166 ele=964m SG_1-2 10_p,E_sattel
